contestant,age,city,state_abbr,season.x,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,gender,occupation,season_number,idols_found,idols_played
Aras Baskauskas,24,Santa Monica,CA,Panama,1,7,3,10,39,9,Male,"Yoga Instructor;
Musician",12,NA,NA
Sekou Bunch,45,Los Angeles,CA,Cook Islands,20,0,NA,0,3,3,Male,Jazz Musician,13,NA,NA
Billy Garcia,36,New York City,NY,Cook Islands,19,1,NA,1,6,4,Male,Heavy Metal Musician,13,NA,NA
Cecilia Mansilla,29,Oakland,CA,Cook Islands,18,1,NA,1,8,5,Female,Risk Consultant,13,NA,NA
J.P. Calderon,30,Long Beach,CA,Cook Islands,17,2,NA,2,11,7,Male,Volleyball Pro,13,NA,NA
Stephannie Favor,35,Columbia,SC,Cook Islands,16,3,NA,3,14,9,Female,Nursing Student,13,NA,NA
Cao Boi Bui,42,Christiansburg,VA,Cook Islands,15,6,NA,6,15,6,Male,Nail Salon Manager,13,NA,NA
Cristina Coria,35,Los Angeles,CA,Cook Islands,14,3,NA,3,15,5,Female,Police Officer,13,NA,NA
Jessica Smith,27,Chico,CA,Cook Islands,13,7,NA,7,18,6,Female,Roller Girl,13,NA,NA
Brad Virata,29,Santa Monica,CA,Cook Islands,12,5,NA,5,21,7,Male,Fashion Director,13,NA,NA
Rebecca Borman,34,Laurelton,NY,Cook Islands,11,4,NA,4,24,6,Female,Make-Up Artist,13,NA,NA
Jenny Guzon-Bae,36,Lake Forest,IL,Cook Islands,10,5,NA,5,24,6,Female,Real Estate Agent,13,NA,NA
Nate Gonzalez,26,Play del Rey,CA,Cook Islands,9,4,0,4,27,5,Male,Shoe Salesman,13,NA,NA
Candice Woodcock,23,Washington,D.C.,Cook Islands,8,7,0,7,30,6,Female,"Pre-Med Student;
Physician/Anesthesiology Resident",13,NA,NA
Jonathan Penner,44,Los Angeles,CA,Cook Islands,7,7,0,7,33,15,Male,Writer,13,NA,NA
Parvati Shallow,23,West Hollywood,CA,Cook Islands,6,5,2,7,36,4,Female,"Boxer;
Charity Organizer",13,NA,NA
Adam Gentry,28,San Diego,CA,Cook Islands,5,5,1,6,37,5,Male,Copier Sales,13,NA,NA
Sundra Oakley,31,Los Angeles,CA,Cook Islands,4,10,0,10,38,6,Female,Actress,13,NA,NA
Becky Lee,28,Washington,D.C.,Cook Islands,3,11,0,11,39,5,Female,Attorney,13,NA,NA
Ozzy Lusth,25,Venice,CA,Cook Islands,2,10,6,16,39,1,Male,"Waiter;
Photographer",13,NA,NA
Yul Kwon,31,San Mateo,CA,Cook Islands,1,11,1,12,39,5,Male,Management Consultant,13,1,0
Jessica deBen,27,Los Angeles,CA,Fiji,19,0,NA,0,3,6,Female,Fashion Stylist,14,NA,NA
Erica Durousseau,27,Baton Rouge,LA,Fiji,18,0,NA,0,6,6,Female,Non-Profit Fundraiser,14,NA,NA
Sylvia Kwan,52,Ross,CA,Fiji,17,0,NA,0,8,6,Female,Architect,14,NA,NA
Gary Stritesky,55,Ramsey,MN,Fiji,16,5,NA,5,10,NA,Male,School Bus Driver,14,NA,NA
Liliana Gomez,25,Los Angeles,CA,Fiji,15,6,NA,6,11,6,Female,Loan Officer,14,NA,NA
Rita Verreos,38,San Antonio,TX,Fiji,14,0,NA,0,14,6,Female,Single Mom,14,NA,NA
Anthony Robinson,32,Compton,CA,Fiji,13,0,NA,0,16,10,Male,Expert Witness Locator,14,NA,NA
Rocky Reid,28,Los Angeles,CA,Fiji,12,1,NA,1,19,5,Male,Bartender,14,NA,NA
Lisi Linares,36,Los Angeles,CA,Fiji,11,9,NA,9,21,7,Female,Customer Service Rep.,14,NA,NA
Michelle Yi,23,Cincinnati,OH,Fiji,10,4,0,4,24,3,Female,Student,14,NA,NA
Edgardo Rivera,28,Miami Beach,FL,Fiji,9,9,1,10,27,5,Male,Ad Executive,14,NA,NA
Mookie Lee,25,Chicago,IL,Fiji,8,1,0,1,30,6,Male,Business Consultant,14,1,0
